Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-11-2022,19.6,29.6,24.3,78,0,9.8,4,230,1,C 
02-11-2022,21.8,29.2,24.6,87,9.3,6,3,100,1,C 
03-11-2022,20.4,30.8,26,78,23.5,3.1,5,110,2,S 
04-11-2022,20.5,29.9,24.7,84,0,10,3,180,1,C 
05-11-2022,20.4,29.8,24.8,80,12.8,6.7,3,190,1,C 
06-11-2022,21.2,28.5,24.8,84,8.8,7.6,4,170,1,S 
07-11-2022,21.5,29.8,24.6,84,13.8,4.4,7,70,2,C 
08-11-2022,20,29.8,24.3,81,2,5.4,6,70,2,C 
09-11-2022,21.4,27.7,24.1,86,5.8,4.6,5,80,2,C 
10-11-2022,20.4,29.4,24.3,82,2,0.4,5,60,1,C 
11-11-2022,21.7,29.2,23.7,92,14.9,3.4,4,60,1,C 
12-11-2022,20.3,29.2,24.5,83,47.9,3.8,5,70,2,C 
13-11-2022,20.7,29.3,24.3,84,0,6.1,5,60,1,C 
14-11-2022,20.2,29.6,24.2,84,5.1,2.7,6,60,2,C 
15-11-2022,20.2,28.2,24.2,86,46.6,5.8,6,50,2,C 
16-11-2022,20.3,29.4,23.7,88,4.4,0.6,3,80,1,C 
17-11-2022,21,28.8,23.7,86,4,3.5,3,50,1,C 
18-11-2022,20.8,27.6,23.5,88,45.6,2.1,3,200,1,C 
19-11-2022,20.5,27.2,22.7,90,25.5,0.5,4,90,0,C 
20-11-2022,19.8,28.9,24.2,81,4.2,0.2,4,80,2,C 
21-11-2022,20,29.8,24.2,84,4,2.9,5,70,1,C 
22-11-2022,21,28.4,23.9,88,17.8,5.8,4,140,2,C 
23-11-2022,20.1,27.4,23.3,87,2.6,3.9,4,110,1,C 
24-11-2022,20.5,26.6,23,87,49.6,0.9,3,160,1,C 
25-11-2022,20.2,28.4,23.3,86,21.7,0,6,100,2,C 
26-11-2022,,,,,,,,,,
